JOB_TITLE,2016,2017,2018,2019,2020,2021,2022
SHIFT COMMANDER,86667.47,109058.3,122264.22,58986.729999999996,36721.35,95032.47,165359.19
TELECOMMUNICATION OFFICER,2600408.13,2686793.05,2867767.63,2873678.68,3411587.63,3084773.05,6073203.87
